samplingProtocol,year,custom_cycle,custom_unitCode,custom_plantCommunity,custom_samplingFrame,custom_transectType,custom_transectNumber,decimalLatitude,decimalLongitude,geodeticDatum,custom_startDate,custom_endDate,custom_eventTimeStart,custom_eventTimeEnd,recordedBy,eventRemarks,custom_segment,occurrenceRemarks,custom_coverClass,custom_dead,custom_cf,identificationQualifier,custom_speciesCode,scientificName,vernacularName,custom_lifeForm,establishmentMeans,custom_certified,custom_certifiedBy,custom_certifiedDate,eventID,locationID
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,0 - 20,NA,2,0,0,NA,MORFAY,Morella faya,fire tree,Tree,Non-Native,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,20 - 40,NA,2,0,0,NA,MORFAY,Morella faya,fire tree,Tree,Non-Native,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,40 - 60,NA,1,0,0,NA,MORFAY,Morella faya,fire tree,Tree,Non-Native,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,60 - 80,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,80 - 100,NA,3,0,0,NA,MORFAY,Morella faya,fire tree,Tree,Non-Native,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,100 - 120,NA,2,0,0,NA,MORFAY,Morella faya,fire tree,Tree,Non-Native,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,120 - 140,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,140 - 160,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,160 - 180,NA,3,0,0,NA,MORFAY,Morella faya,fire tree,Tree,Non-Native,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,180 - 200,NA,3,0,0,NA,MORFAY,Morella faya,fire tree,Tree,Non-Native,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
Established Invasive Plant Species,2010,1,HAVO,Wet Forest,Nahuku / East Rift,Fixed,1,19.386043,-155.229628,EPSG: 4326,2010-11-15,2010-11-15,NA,NA,Adam Mehlhorn | Bret Callaway | Daemerson Awong,NA,200 - 220,NA,3,0,0,NA,MORFAY,Morella faya,fire tree,Tree,Non-Native,1,Alison Ainsworth,2012-09-18,20110104121500-709037899.971008,20110104121020-533424019.813538
